Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.57      1.28     1.28                             _init
 17.46      2.27     0.99 1941504792     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 14.64      3.10     0.83 1941707596     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
 12.17      3.79     0.69        1     0.69     3.03  compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int)
  7.67      4.22     0.43 272646144     0.00     0.00  next_pressure_value(int, int, int, int, int, int, int, int, int)
  4.76      4.50     0.27     1200     0.00     0.00  shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&)
  3.53      4.70     0.20     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::~vector()
  2.82      4.86     0.16     1200     0.00     0.00  void std::__fill_a1<Point*, Point>(Point*, Point*, Point const&)
  2.29      4.99     0.13 130801308     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const
  2.03      5.10     0.12 272646144     0.00     0.00  int const& std::min<int>(int const&, int const&)
  1.50      5.18     0.09 130946491     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  1.41      5.26     0.08 130804910     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const
  1.15      5.33     0.07 130876112     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  1.06      5.39     0.06 130915030     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.88      5.44     0.05 130947695     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.88      5.49     0.05     1201     0.00     0.00  void std::__fill_a1<int*, int>(int*, int*, int const&)
  0.79      5.54     0.04        1     0.04     0.05  summarize_heatmap(std::vector<int, std::allocator<int> > const&, int, int)
  0.71      5.58     0.04 65614600     0.00     0.00  std::vector<Point, std::allocator<Point> >::size() const
  0.62      5.61     0.04 130948472     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.44      5.63     0.03      260     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.18      5.64     0.01 65614600     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator[](unsigned long)
  0.18      5.66     0.01        1     0.01     0.01  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_max_size(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.09      5.66     0.01     1200     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars<char const*>(char*, char const*, char const*)
  0.09      5.67     0.01        2     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.09      5.67     0.01        1     0.01     0.01  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_allocate(unsigned long)
  0.00      5.67     0.00   279952     0.00     0.00  std::array<int, 1201ul>::operator[](unsigned long)
  0.00      5.67     0.00   135200     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      5.67     0.00   135200     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      5.67     0.00    70261     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.67     0.00    67600     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<char const>::operator()<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00      5.67     0.00    67600     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      5.67     0.00    67600     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      5.67     0.00    67600     0.00     0.00  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      5.67     0.00    67600     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
