Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.92      1.38     1.38 1941504792     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 20.67      2.62     1.24                             _init
 12.92      3.39     0.78 1941707596     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
 11.17      4.06     0.67        1     0.67     3.32  compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int)
  7.25      4.50     0.43 272646144     0.00     0.00  next_pressure_value(int, int, int, int, int, int, int, int, int)
  5.00      4.79     0.30     1200     0.00     0.00  shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&)
  4.75      5.08     0.28     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::~vector()
  2.83      5.25     0.17     1200     0.00     0.00  void std::__fill_a1<Point*, Point>(Point*, Point*, Point const&)
  1.58      5.34     0.10 130946491     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  1.58      5.44     0.10 130804910     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const
  1.50      5.53     0.09 272646144     0.00     0.00  int const& std::min<int>(int const&, int const&)
  1.00      5.59     0.06 130947695     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  1.00      5.65     0.06 130915030     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  1.00      5.71     0.06 130801308     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const
  0.83      5.76     0.05 65614600     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator[](unsigned long)
